Poem/poet,Type,year,imagist,time,expertise,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,emotWords,numWords
Power by Adrienne Rich,Poet,1929,0,modern,professional,0.0317,0.4523,0.4603,0.1333,0,0.0222,0.1777,0.9444,-0.923331947,-0.301812594,0.301239591,-0.151836721,101.4173228,0.669291339,4.307086614,0.031496063,0.023622047,0.007874016,127
Root Cellar by Theodore Roethke,Poet,1908,0,modern,professional,0.04,0.28,0.7333,0.1851,0,0,0.1851,1.0533,-0.739257051,-0.114192222,0.097329147,-0.217606002,352.7631579,0.881578947,4.657894737,0.078947368,0,0.026315789,76
The Room of My Life by Anne Sexton,Poet,1928,0,modern,professional,0.0151,0.3686,0.4898,0.0404,0,0.0101,0.0707,0.8737,-1.021650162,-0.29568616,0.656260955,-0.003863689,210.2663317,0.623115578,4.165829146,0.075376884,0.025125628,0.015075377,199
Her Kind by Anne Sexton,Poet,1928,0,modern,professional,0.0141,0.2907,0.5531,0.2631,0.1754,0,0.5263,0.8581,-0.96619286,-0.410755718,0.569580269,-0.143015711,196.4788732,0.633802817,4.309859155,0.028169014,0.028169014,0.028169014,142
Fork by Charles Simic,Poet,1938,0,modern,professional,0,0.3448,0.4482,0.1904,0,0,0.1904,0.7931,-0.978051066,-0.225120668,0.253945578,-0.019836955,160.4754098,0.770491803,3.803278689,0.098360656,0.032786885,0.016393443,61
My Noiseless Entourage by Charles Simic,Poet,1938,0,modern,professional,0.0227,0.3939,0.5227,0.0333,0,0,0.0833,0.9393,-1.003680802,-0.379765091,0.188819591,-0.211011575,72.76691729,0.766917293,4.248120301,0.022556391,0.022556391,0.015037594,133
Working Late by Louis Simpson,Poet,1923,0,modern,professional,0.018,0.3873,0.3873,0.0729,0.0208,0,0.0937,0.7927,-0.979251516,-0.29401725,0.466246671,-0.417124037,208.0840708,0.610619469,4.075221239,0.048672566,0.03539823,0.004424779,226
Cleaning a Fish by Dave Smith,Poet,1942,0,modern,professional,0.025,0.3958,0.45,0.0666,0,0,0.0666,0.8708,-0.787108556,-0.285431334,0.637697518,-0.081820832,443.4836066,0.618852459,3.991803279,0.053278689,0.012295082,0.024590164,244
Pacemaker by W.D. Snodgrass,Poet,1926,0,modern,professional,0.045,0.3513,0.6216,0.1264,0.0229,0,0.1839,1.018,-0.80455026,-0.215278179,0.254835205,-0.052049726,154.6491228,0.688596491,4.460526316,0.026315789,0.00877193,0.01754386,228
Hay for the Horses by Gary Synder,Poet,1930,0,modern,professional,0.0312,0.3046,0.6484,0.0454,0,0,0.0454,0.9843,-0.844733509,-0.174807469,0.265393707,-0.284708311,144.3257576,0.742424242,4.227272727,0.037878788,0.015151515,0.007575758,132
Oranges by Gary Soto,Poet,1952,0,modern,professional,0.0387,0.3178,0.5465,0.0987,0,0,0.0987,0.9031,-0.711196139,-0.187534504,0.683196587,-0.282750109,354.4482759,0.605363985,4.088122605,0.045977011,0.030651341,0.007662835,261
Glass-Bottom Boat by Elizabeth Spires,Poet,1952,0,modern,professional,0.022,0.3753,0.4921,0.0679,0.0123,0,0.0802,0.8895,-0.959924891,-0.353211917,0.69191024,-0.281437477,282.8238994,0.632075472,4.455974843,0.047169811,0.028301887,0.009433962,318
Gin by David St. John,Poet,1949,0,modern,professional,0.0153,0.4018,0.4417,0.0396,0,0,0.0634,0.8588,-0.838282379,-0.198728071,0.528618179,-0.380661845,405.5165165,0.621621622,4.204204204,0.066066066,0.018018018,0.006006006,333
Traveling through the Dark by William Stafford,Poet,1914,0,modern,professional,0.0445,0.2866,0.4012,0.0833,0,0,0.0833,0.7324,-0.705379096,-0.193029869,0.364283772,-0.252507849,119.5632911,0.683544304,4.107594937,0.044303797,0.006329114,0.012658228,158
Notice What This Poem Is Not Doing by William Stafford,Poet,1914,0,modern,professional,0.0175,0.4385,0.5087,0.0238,0,0,0.0714,0.9649,-1.098353808,-0.394565288,0.821072248,-0.478944495,26.75652174,0.573913043,4.043478261,0.052173913,0.008695652,0,115
The Dancing by Gerald Stern,Poet,1925,0,modern,professional,0.0335,0.3691,0.4496,0.0196,0,0.0196,0.0588,0.8523,-0.835764212,-0.222598415,0.3570323,0.074446669,910.0322581,0.677419355,4.15483871,0.038709677,0.006451613,0,155
The Prediction by Mark Strand,Poet,1934,0,modern,professional,0.0294,0.4607,0.6078,0.0666,0,0,0.0666,1.098,-0.633583539,-0.142059737,0.790288697,-0.419944986,201.6057692,0.605769231,4.163461538,0.038461538,0.028846154,0,104
The Night The Porch by Mark Strand,Poet,1934,0,modern,professional,0.0327,0.2704,0.4508,0.1481,0,0,0.1481,0.754,-1.268628634,-0.627910592,0.830168883,-0.431998132,287.8211382,0.674796748,3.894308943,0.032520325,0.056910569,0.016260163,123
Letter by Jean Valentine,Poet,1934,0,modern,professional,0.0901,0.5245,0.459,0.0666,0,0.0222,0.1111,1.0737,-0.706154702,-0.154787245,0.697695741,-0.299443695,455.483871,0.637096774,4.120967742,0.120967742,0.024193548,0.016129032,124
Year's End by Ellen Bryant Voigt,Poet,1943,0,modern,professional,0.019,0.3714,0.5857,0.1458,0,0.0104,0.1666,0.9761,-0.89745023,-0.295772568,0.378387536,-0.265594192,311.740566,0.636792453,4.132075472,0.033018868,0.028301887,0.033018868,212
In Trackless Woods by Richard Wilbur,Poet,1921,0,modern,professional,0.0093,0.2897,0.4953,0.0555,0.1388,0,0.1944,0.7943,-1.084258931,-0.504509193,0.373755634,-0.461874547,493.8073395,0.743119266,4.073394495,0.027522936,0.009174312,0.018348624,109
The Singing by C. K. Williams,Poet,1936,0,modern,professional,0.0547,0.3573,0.4812,0.0935,0,0.0058,0.0994,0.8933,-0.956065495,-0.396783579,0.695274814,-0.304879707,318.1661891,0.544412607,4.160458453,0.011461318,0.014326648,0.008595989,349
More Blues and the Abstract Truth by C.D. Write,Poet,1949,0,modern,professional,0.0329,0.3909,0.4897,0.054,0.009,0,0.063,0.9135,-0.888519012,-0.208447694,0.566405395,-0.315528654,70.50813008,0.597560976,3.906504065,0.06097561,0.024390244,0.004065041,246
Approximately Forever by C.D. Wright,Poet,1949,0,modern,professional,0.014,0.3661,0.4788,0.1388,0,0,0.1666,0.8591,-0.842319441,-0.344062324,0.81385875,0.072658668,129.75,0.819444444,4.263888889,0.013888889,0.013888889,0.013888889,72
Clear Night by Charles Wright,Poet,1935,0,modern,professional,0.033,0.2396,0.6363,0.2,0,0.0333,0.3,0.909,-0.839661783,-0.268358706,0.771776116,-0.311022158,199.7622951,0.62295082,3.836065574,0.040983607,0.016393443,0.008196721,122
Lying in a Hammock at William Duffy's Farm in Pine Island Minnesota by James Wright,Poet,1927,0,modern,professional,0.0121,0.439,0.5609,0.1212,0,0,0.1212,1.0121,-0.695614773,-0.029907002,0.844358543,-0.545529311,272,0.761904762,4.25,0.035714286,0.047619048,0.011904762,84
A Blessing by James Wright,Poet,1927,0,modern,professional,0.0116,0.2748,0.4093,0.106,0,0,0.106,0.6959,-0.837260676,-0.276007214,0.765540141,-0.303003824,463.7630058,0.682080925,4.161849711,0.028901734,0.023121387,0.028901734,173
Only but a dream,Amateur,,0,modern,amateur,0.0303,0.3068,0.4545,0.0579,0.0144,0.0144,0.0869,0.7916,-0.977767539,-0.37203654,0.717025116,-0.3829933,64.21509434,0.532075472,3.690566038,0.037735849,0.030188679,0.01509434,265
Dr. Heinz Doofenshmirtz,Amateur,,0,modern,amateur,0.041,0.2739,0.3972,0.0533,0.04,0,0.1066,0.7123,-1.01912142,-0.503443124,0.339843952,-0.129558197,149.4693878,0.659863946,3.80952381,0.020408163,0.034013605,0.020408163,147
Freedom,Amateur,,0,modern,amateur,0.0303,0.5606,0.3787,0.0476,0,0.0476,0.0952,0.9696,-1.105487927,-0.582696672,1.33473074,-0.143872514,7.179104478,0.597014925,4.179104478,0.029850746,0.104477612,0.014925373,67
