Type,Poem/poet,wordCount,avgWordLength,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,soundDevicesFreq,endRhymeFreq,concreteness,imageability,valence,arousal,typeTokenRatio,logWordFreq,objectWords,absWords
19thPoet,"TheBoys,byOliverWendellHolmes/19th",0.6794,0.2075,0.0427,0.3277,0.4228,0.0158,0.1984,0.7933,0.2142,2.598226744,341.7133106,5.824016393,4.151557377,0.575903614,2.265778033,0.021686747,0.028915663
19thPoet,"TheTrueLover,byA.E.Housman/19th",0.527,0.1133,0.0218,0.262,0.4628,0.196,0.1568,0.7467,0.3529,2.700721154,338.423913,5.9645,3.962,0.586956522,2.292657511,0.056521739,0.017391304
19thPoet,"ThePoet,byHermannHesse/19th",0.5189,0.2247,0.0181,0.4909,0.5409,0.0344,0.0114,1.0499,0.0689,2.639851485,339.2848101,5.967179487,4.028846154,0.588235294,2.499491287,0.018099548,0.040723982
19thPoet,"IamtheReaper,byWilliamErnestHenley/19th",0.4049,0.3091,0.0325,0.3333,0.3983,0.0266,0,0.7642,0.0266,2.550927835,336.2463768,5.404166667,4.259444444,0.606557377,2.640037128,0.032786885,0.049180328
19thPoet,"GONE,byHenrikIbsen/19th",0.2615,0.2039,0.04,0.24,0.72,0.1333,0.1,1,0.2666,2.701777778,353.5,6.122142857,4.132142857,0.769230769,2.064668951,0.038461538,0
19thPoet,"GentleLady,DoNotSing,byJamesJoyce/19th",0.2461,0.1262,0.0652,0.413,0.3913,0.0555,0.0555,0.8695,0.2222,2.498333333,366.7,5.9905,4.0825,0.70212766,2.348725934,0.021276596,0.021276596
19thPoet,"ContemplationOfTheSword,byRobinsonJeffers/19th",0.6709,0.3105,0.0244,0.3765,0.6992,0.0884,0,1.1002,0.102,2.512881844,320.6605166,5.283191489,4.617446809,0.542079208,2.172642499,0.061881188,0.032178218
19thPoet,"ACalendarofSonnets:May,byHelenHuntJackson/19th",0.3967,0.2067,0.0932,0.3305,0.5,0,0.25,0.9237,0.25,2.427378641,329.2142857,6.220285714,4.132857143,0.745762712,2.35301531,0.016949153,0.042372881
19thPoet,"TheBalladoftheKing'sJest,byRudyardKipling/19th",0.8894,0.1323,0.028,0.3416,0.46,0.0683,0.1225,0.8296,0.1994,2.534725,326.9305556,5.611714286,4.13044898,0.440713536,2.258313053,0.029380902,0.025183631
19thPoet,"Wealth,byJoyceKilmer/19th",0.3557,0.2177,0,0.3763,0.4086,0.0303,0.1818,0.7849,0.2121,2.439871795,317.7619048,5.877241379,4.145517241,0.808510638,2.557233777,0.031914894,0.010638298
