Word,contempPoet,19th,contempAmateur,total
reticent,1,0,0,1
shifty,0,1,0,1
hereafter,0,1,0,1
always,14,17,41,72
loosely,0,1,0,1
courses,0,1,0,1
found,10,5,7,22
england,0,5,0,5
upstairs,1,0,0,1
clockwork,1,0,0,1
blues,1,0,0,1
really,6,2,14,22
try,2,3,11,16
missed,0,0,3,3
blacks,1,0,0,1
silks,2,0,0,2
darling,0,0,3,3
highway,2,0,0,2
viol,0,2,0,2
risen,1,0,1,2
drifting,3,0,1,4
porcelain,1,0,1,2
sparked,1,0,0,1
murmur,1,1,0,2
imagine,3,0,1,4
rises,1,0,0,1
reproach,1,0,0,1
uplands,0,1,0,1
reared,0,1,0,1
castle,0,2,0,2
booned,0,0,1,1
porpoise,0,1,0,1
gazed,2,0,0,2
vowel,1,0,0,1
slipped,0,1,0,1
thereafter,0,1,0,1
number,0,0,2,2
gazes,0,0,2,2
glitter,0,1,0,1
guess,0,0,3,3
heads,5,6,0,11
guest,1,3,0,4
syllabled,1,1,0,2
nobly,0,1,0,1
flings,1,0,0,1
saint,1,0,0,1
justly,0,1,0,1
seagram,1,0,0,1
playmate,0,5,0,5
zeppelin,0,1,0,1
stairs,1,2,0,3
grace,2,0,3,5
marriage,1,0,0,1
fishermen,1,0,0,1
remembers,1,1,0,2
maltreated,0,1,0,1
livers,0,1,0,1
honeys,1,0,0,1
fireside,1,1,0,2
caress,1,2,1,4
blond,2,0,0,2
odors,0,1,0,1
sell,1,1,0,2
bloodstain,1,0,0,1
permanence,0,1,0,1
odd,6,0,0,6
self,0,10,3,13
fornication,0,1,0,1
also,1,6,3,10
frail,0,2,0,2
glades,0,1,0,1
knobs,1,0,0,1
brace,0,1,0,1
play,3,7,5,15
swiftly,1,2,0,3
yawn,0,1,0,1
plan,1,4,0,5
foyer,0,0,1,1
singled,1,0,0,1
understands,0,0,1,1
whalebone,0,1,0,1
seize,0,1,0,1
gusted,1,0,0,1
sometimes,11,2,34,47
cover,2,0,1,3
barren,1,0,0,1
barrel,1,0,0,1
dragged,1,0,0,1
gold,6,6,0,12
midwestern,1,0,0,1
freight,0,2,0,2
failed,1,3,0,4
cassette,0,0,1,1
sorrowing,0,1,0,1
dandelion,0,1,0,1
beams,0,1,1,2
ceasing,0,1,0,1
sunny,0,1,1,2
twill,0,1,0,1
closely,1,1,0,2
frightening,1,1,0,2
enemy,0,1,0,1
sleeve,1,0,0,1
hits,1,0,2,3
cry,5,6,15,26
preying,1,0,0,1
caramel,1,1,0,2
cease,1,1,0,2
river,7,5,0,12
rivet,1,0,0,1
insane,1,0,1,2
set,8,7,3,18
nibble,0,1,0,1
sex,1,0,0,1
see,27,24,45,96
sea,7,38,3,48
knees,3,2,0,5
spirits,1,2,0,3
demons,0,0,2,2
taming,0,1,0,1
pickup,2,0,0,2
verbs,1,0,0,1
rite,0,1,0,1
kneel,3,0,0,3
knowing,8,2,9,19
candor,1,0,0,1
hardship,0,0,1,1
untouched,1,0,0,1
flatware,1,0,0,1
