Type,Poem/poet,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,numOOV,numWords,propOOV,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,propNoImage,emotWords,pleasurWords,painWords,wordFreqInc
contempPoet,"WorkingLate,byLouisSimpson/Poet",0.018,0.3873,0.3873,0.0729,0.0208,0,0.0937,0.7927,341.4482759,2.7309,5.65826087,3.836666667,0,226,0,2.175544866,0.610619469,4.075221239,0.048672566,0.03539823,0.230088496,0.004424779,0,0.004424779,208.0840708
contempPoet,"CleaningaFish,byDaveSmith/Poet",0.025,0.3958,0.45,0.0666,0,0,0.0666,0.8708,362.5319149,2.739817352,5.876842105,4.137236842,1,244,0.004098361,2.24244013,0.618852459,3.991803279,0.053278689,0.012295082,0.229508197,0.024590164,0.004098361,0.012295082,443.4877049
contempPoet,"Pacemaker,byW.D.Snodgrass/Poet",0.045,0.3513,0.6216,0.1264,0.0229,0,0.1839,1.018,360.6180556,2.812678571,5.388734177,4.163924051,4,228,0.01754386,2.401466693,0.688596491,4.460526316,0.026315789,0.00877193,0.368421053,0.01754386,0,0.01754386,154.6666667
contempPoet,"HayfortheHorses,byGarySynder/Poet",0.0312,0.3046,0.6484,0.0454,0,0,0.0454,0.9843,356.2087912,2.854711538,5.402195122,3.955365854,2,132,0.015151515,2.488040425,0.742424242,4.227272727,0.037878788,0.015151515,0.310606061,0.007575758,0.007575758,0,144.3409091
contempPoet,"Oranges,byGarySoto/Poet",0.0387,0.3178,0.5465,0.0987,0,0,0.0987,0.9031,370.8617021,2.841493213,5.934848485,3.957121212,0,261,0,2.239089865,0.605363985,4.088122605,0.045977011,0.030651341,0.279693487,0.007662835,0,0,354.4482759
contempPoet,"Glass-BottomBoat,byElizabethSpires/Poet",0.022,0.3753,0.4921,0.0679,0.0123,0,0.0802,0.8895,343.5689655,2.66942029,5.945957447,3.958297872,0,318,0,2.325967674,0.632075472,4.455974843,0.047169811,0.028301887,0.270440252,0.009433962,0.006289308,0.009433962,282.8238994
contempPoet,"Gin,byDavidSt.John/Poet",0.0153,0.4018,0.4417,0.0396,0,0,0.0634,0.8588,356.9166667,2.82986755,5.737777778,3.869351852,0,333,0,2.351449113,0.621621622,4.204204204,0.066066066,0.018018018,0.243243243,0.006006006,0,0,405.5165165
contempPoet,"TravelingthroughtheDark,byWilliamStafford/Poet",0.0445,0.2866,0.4012,0.0833,0,0,0.0833,0.7324,371.5,2.835785714,5.528269231,3.984230769,0,158,0,2.255002563,0.683544304,4.107594937,0.044303797,0.006329114,0.189873418,0.012658228,0,0.018987342,119.5632911
contempPoet,"NoticeWhatThisPoemIsNotDoing,byWilliamStafford/Poet",0.0175,0.4385,0.5087,0.0238,0,0,0.0714,0.9649,328.3793103,2.626470588,6.110625,3.78125,0,115,0,1.823036268,0.573913043,4.043478261,0.052173913,0.008695652,0.243478261,0,0,0,26.75652174
contempPoet,"TheDancing,byGeraldStern/Poet",0.0335,0.3691,0.4496,0.0196,0,0.0196,0.0588,0.8523,357.1929825,2.805075758,5.51902439,4.277317073,4,155,0.025806452,2.488924589,0.677419355,4.15483871,0.038709677,0.006451613,0.264516129,0,0,0,910.0580645
